word	translation	notes	date
eselsbrücke	mnemonic	ella	2025-04-21 07:33:00
fichten	pine?		2025-04-21 07:36:00
rodbuche	tree		2025-04-21 07:39:00
weistsnner	bj		2025-04-21 07:42:00
raute	eskenar		2025-04-21 07:45:00
route	route		2025-04-21 07:48:00
polter	wood		2025-04-21 07:51:00
wolfsmonitoring	w		2025-04-21 07:57:00
ardler farm	eagle thing		2025-04-21 08:00:00
effarung elibnes	experience		2025-04-21 08:03:00
knistern 	cr	sound ella crackling bug shit	2025-04-21 08:06:00
fund ich auch	i find it like that too		2025-04-21 08:09:00
anlienen	sitback yaslanmak		2025-04-21 08:12:00
ruckenleien	bankin yaslanma yeri		2025-04-21 08:15:00
moge er in friiden ruhen	rest in peace		2025-04-21 08:18:00
got hab in selich	let god have a soul		2025-04-21 08:21:00
esmireagal	schaisegal		2025-04-21 08:24:00
schranke	red n white	achtung schranke	2025-04-21 08:27:00
anbaden	first swim if the year		2025-04-21 16:57:20
umwelt	g	giulia ella	2025-04-21 17:00:20
welt	ye		2025-04-21 17:03:20
rababa	ruba vegetable	grandmas put it to cake?	2025-04-21 17:06:20
sterben	to die	gestorben 🙂->😵   😢	2025-04-22 06:48:00
der Mörder	murderer	Der Mörder ermordet sein Opfer	2025-04-22 06:51:00
ermorden	to murder	Der Mörder ermordet sein Opfer , Martin Luther King wurde 1968 ermordet	2025-04-22 06:54:00
das Opfer	victim / sacrifice 	semantic broadening , der Mörder ermordet sein Opfer	2025-04-22 06:57:00
der Apfelsaft	apple juice		2025-04-22 07:00:00
der Biergarten	beer garden		2025-04-22 07:03:00
das Haus	house	Was würdest du tun, wenn du 10 Millionen Euro hättest? Dann würde ich ein großes Haus kaufen.	2025-04-22 08:03:00
der Kokosaft	coconut juice		2025-04-22 08:06:00
die Weltreise	world trip	Dann würde ich eine Weltreise machen.	2025-04-22 08:09:00
das Bildungsprojekt	educational project	Wir könnten damit ein Bildungsprojekt für arme Familien starten.	2025-04-22 08:12:00
arm	poor	Wir könnten damit ein Bildungsprojekt für arme Familien starten.	2025-04-22 08:15:00
die Häuser	houses	Ich würde viele Häuser kaufen, entmisten, renovieren und sehr teuer vermieten.	2025-04-22 08:18:00
entmisten	to dectlutter / to clen up mess	Ich würde viele Häuser kaufen, entmisten, renovieren und sehr teuer vermieten.	2025-04-22 08:21:00
vermieten	to rent out / to lease	Ich würde viele Häuser kaufen, entmisten, renovieren und sehr teuer vermieten.	2025-04-22 08:24:00
unsichtbar	invisible	 ..., wenn du 48 Stunden unsichtbar wärst.	2025-04-22 08:27:00
der Dinosaurier	dinosaur	Was wäre, wenn die Dinosaurier noch leben würden?	2025-04-22 08:30:00
das Schauspiel	watch-play	play / performance / drama / theather	2025-04-22 15:13:39
aufgehys	go		2025-04-23 18:06:45
schauinsland	watching in die land	lili	2025-04-23 18:09:45
entspannt	s	janna talking with sido	2025-04-23 18:12:45
genug	enough	Sind meine Deutschkenntnisse gut genug, um im Kurs zu bleiben?	2025-04-24 07:00:00
um ... zu bleiben	to stay	Sind meine Deutschkenntnisse gut genug, um im Kurs zu bleiben?	2025-04-24 07:03:00
deshalb	therefore / because of that / thats why		2025-04-24 07:06:00
der Tierpark	zoo	Wenn heute noch Dinosaurier leben würden, dann würde der Tierpark viel Geld kosten.	2025-04-24 07:09:00
das Geld	money	Wenn heute noch Dinosaurier leben würden, dann würde der Tierpark viel Geld kosten.	2025-04-24 07:12:00
das Haustier	pet / house animal	 Dann würde ich einen Dinosaurier als Haustier haben und damit im Wald leben.	2025-04-24 07:15:00
der Wald	forest / wild land	 Dann würde ich einen Dinosaurier als Haustier haben und damit im Wald leben.	2025-04-24 07:18:00
reiten	to ride	Dann würden die Leute mit den Dinosauriern fahren oder auf ihnen reiten.	2025-04-24 07:21:00
schriftlich	in writing / written	Wie schön, schriftlich von dir zu hören.	2025-04-24 16:04:19
eben	just now / a moment ago	Deinen Brief habe ich eben nur durch Zufall gefunden, nachdem ich von einem abendlichen Sonnen-spaziergang heimgekommen bin.	2025-04-24 16:10:19
durch Zufall	by chance / through falling upon you	Deinen Brief habe ich eben nur durch Zufall gefunden, nachdem ich von einem abendlichen Sonnen-spaziergang heimgekommen bin.	2025-04-24 16:13:19
finden	to find	Deinen Brief habe ich eben nur durch Zufall gefunden, nachdem ich von einem abendlichen Sonnen-spaziergang heimgekommen bin.	2025-04-24 16:14:00
abendlichen Sonnen-Spaziergang	evening sun walk	Deinen Brief habe ich eben nur durch Zufall gefunden, nachdem ich von einem abendlichen Sonnen-spaziergang heimgekommen bin.	2025-04-24 16:16:00
heimkommen	to come home	Deinen Brief habe ich eben nur durch Zufall gefunden, nachdem ich von einem abendlichen Sonnen-spaziergang heimgekommen bin.	2025-04-24 16:19:00
normalerweise	normally	Normalerweise kommt am Wochenende ja keine Post, deswegen war ich fast nicht zum Briefkasten gegangen.	2025-04-24 16:22:00
die Post	post / mail	Normalerweise kommt am Wochenende ja keine Post, deswegen war ich fast nicht zum Briefkasten gegangen.	2025-04-24 16:25:00
deswegen	therefore / because of that / thats why	Normalerweise kommt am Wochenende ja keine Post, deswegen war ich fast nicht zum Briefkasten gegangen.	2025-04-24 16:28:00
fast	almost	Normalerweise kommt am Wochenende ja keine Post, deswegen war ich fast nicht zum Briefkasten gegangen.	2025-04-24 16:31:00
der Briefkasten	mailbox / letterbox	Normalerweise kommt am Wochenende ja keine Post, deswegen war ich fast nicht zum Briefkasten gegangen.	2025-04-24 16:34:00
warten	to wait	Warte.	2025-04-24 16:37:00
einwerfen	to throw in	Hast du den Brief schon am Donnerstag eingeworfen?	2025-04-24 16:40:00
der Blick	glance / look	Dann habe ich ihn bei meinem letzten Blick in den Briefkasten übersehen. Naja, egal.	2025-04-24 16:43:00
übersehen	to overlook	Dann habe ich ihn bei meinem letzten Blick in den Briefkasten übersehen. Naja, egal.	2025-04-24 16:46:00
sich anfühlen	to feel like	Das hier fühlt sich ein bisschen wie eine Parallel-Welt an, weil wir haben uns so viel gesehen und du weißt was so bei mir abgeht und wie es mir geht.	2025-04-24 16:49:00
die Parallel-Welt	parallel world	Das hier fühlt sich ein bisschen wie eine Parallel-Welt an, weil wir haben uns so viel gesehen und du weißt was so bei mir abgeht und wie es mir geht.	2025-04-24 16:52:00
Ich war mal so frei	i took the liberty (to do sth.)	Ich war mal so frei und habe deinen Text ein bisschen korrigiert.	2025-04-24 16:55:00
der Text	text	Ich war mal so frei und habe deinen Text ein bisschen korrigiert.	2025-04-24 16:58:00
korrigieren	to correct	Ich war mal so frei und habe deinen Text ein bisschen korrigiert.	2025-04-24 17:01:00
leider	unfortunately / with suffering	Ich glaube, mehr habe ich gerade leider nicht zu berichten.	2025-04-24 17:04:00
berichten	to report / to tell	Ich glaube, mehr habe ich gerade leider nicht zu berichten.	2025-04-24 17:07:00
der Osterhase	easter bunny	🐇 ← das ist der Osterhase.	2025-04-24 17:10:00
die Korrektur	correction	Ich habe die Korrekturen mit dem roten Stift total geliebt.	2025-04-25 18:01:00
das Feedback	feedback	Ich liebe Feedback	2025-04-25 18:04:00
ziemlich	quite	Nach unserem letzten Treffen waren meine Tage ziemlich voll	2025-04-25 18:07:00
das Highlight	highlight	Ich glaube, das Highlight war: Hochschulsport Ausdauersport Tempotraining am Mittwoch.	2025-04-25 18:10:00
der Hochschulsport	university sports	Ich glaube, das Highlight war: Hochschulsport Ausdauersport Tempotraining am Mittwoch.	2025-04-25 18:13:00
der Ausdauersport	endurance sports	Ich glaube, das Highlight war: Hochschulsport Ausdauersport Tempotraining am Mittwoch.	2025-04-25 18:16:00
das Tempotraining	speed training	Ich glaube, das Highlight war: Hochschulsport Ausdauersport Tempotraining am Mittwoch.	2025-04-25 18:19:00
kennenlernen	to get to know	Ich habe ein paar nette Leute kennengelernt.	2025-04-25 18:22:00
größtenteils	mostly	Es war größtenteils auf Deutsch, außer wenn ich etwas auf Englisch gefragt habe.	2025-04-25 18:25:00
außer	except	Es war größtenteils auf Deutsch, außer wenn ich etwas auf Englisch gefragt habe.	2025-04-25 18:28:00
fragen	to ask	Es war größtenteils auf Deutsch, außer wenn ich etwas auf Englisch gefragt habe.	2025-04-25 18:31:00
das Training	training	Das Training war super.	2025-04-25 18:34:00
anstrengend	exhausting	Es ist so lange her, dass ich etwas so Anstrengendes gemacht habe.	2025-04-25 18:37:00
folgendes	following	Wir haben folgendes gemacht:	2025-04-25 18:40:00
schnell	fast / quick		2025-04-25 18:43:00
umgekehrt	reversed	um: indicates change reversal or movement around smth , kehren: to turn	2025-04-25 18:46:00
zwischendurch	in between / at some point	Ich dachte zwischendurch, ich schaffe es nicht – aber ich bin einfach weitergelaufen.	2025-04-25 18:49:00
schaffen	to manage / to accomplish	Ich dachte zwischendurch, ich schaffe es nicht – aber ich bin einfach weitergelaufen.	2025-04-25 18:52:00
weiterlaufen	to keep running	Ich dachte zwischendurch, ich schaffe es nicht – aber ich bin einfach weitergelaufen.	2025-04-25 18:55:00
erholen	to recover	Jetzt erhole ich mich.	2025-04-25 18:58:00
das Gespräch	conversation	Nach unserem letzten Gespräch beim Sonnenuntergang war ich zu Hause und habe nachgedacht.	2025-04-25 19:01:00
der Sonnenuntergang	sunset	Nach unserem letzten Gespräch beim Sonnenuntergang war ich zu Hause und habe nachgedacht.	2025-04-25 19:04:00
nachdenken	to think about	Nach unserem letzten Gespräch beim Sonnenuntergang war ich zu Hause und habe nachgedacht.	2025-04-25 19:07:00
sich erinnern	to remember / to recall	Erinnerst du dich an den Film, von dem ich dir während der Wanderung erzählt habe? Temple Grandin.	2025-04-25 19:10:00
der Film	movie	Erinnerst du dich an den Film, von dem ich dir während der Wanderung erzählt habe? Temple Grandin.	2025-04-25 19:13:00
während	during / while	Erinnerst du dich an den Film, von dem ich dir während der Wanderung erzählt habe? Temple Grandin.	2025-04-25 19:16:00
die Wanderung	hike	Erinnerst du dich an den Film, von dem ich dir während der Wanderung erzählt habe? Temple Grandin.	2025-04-25 19:19:00
erzählen	to tell / to narrate	Erinnerst du dich an den Film, von dem ich dir während der Wanderung erzählt habe? Temple Grandin.	2025-04-25 19:22:00
empfehlen	to recommend	Ich empfehle dir, ihn dir anzuschauen	2025-04-25 19:25:00
anschauen	to watch / to look towards smth	Ich empfehle dir, ihn dir anzuschauen	2025-04-25 19:28:00
irgendwann	sometime	Oder wir können ihn auch irgendwann zusammen schauen, wenn du magst.	2025-04-25 19:31:00
zusammen	together	Oder wir können ihn auch irgendwann zusammen schauen, wenn du magst.	2025-04-25 19:34:00
schauen	to look / to watch	Oder wir können ihn auch irgendwann zusammen schauen, wenn du magst.	2025-04-25 19:37:00
wirklich	really / truly	Ich würde ihn wirklich gerne nochmal mit dir anschauen.	2025-04-25 19:40:00
die Parallele	parallel	Ich mag diesen Film sehr und finde einige Parallelen zwischen Temple und mir – und ich bin neugierig, ob du das vielleicht auch bei dir erkennst.	2025-04-25 19:43:00
zwischen	between	zw- two , twain-two-between , Ich mag diesen Film sehr und finde einige Parallelen zwischen Temple und mir – und ich bin neugierig, ob du das vielleicht auch bei dir erkennst.	2025-04-25 19:46:00
neugierig	curious / greedy for new things	neu: new , gierig: greedy , Ich mag diesen Film sehr und finde einige Parallelen zwischen Temple und mir – und ich bin neugierig, ob du das vielleicht auch bei dir erkennst.	2025-04-25 19:49:00
erkennen	to recognize	Ich mag diesen Film sehr und finde einige Parallelen zwischen Temple und mir – und ich bin neugierig, ob du das vielleicht auch bei dir erkennst.	2025-04-25 19:52:00
wünschen	to wish	Ich wünschte, ich könnte ihn mit deiner Stimme hören.	2025-04-25 19:55:00
die Stimme	voice	Ich wünschte, ich könnte ihn mit deiner Stimme hören.	2025-04-25 19:58:00
der Papierflieger	paper plane	Magst du es, Papierflieger zu basteln?	2025-04-25 20:01:00
basteln	to craft / to make (smth by hand)	Magst du es, Papierflieger zu basteln?	2025-04-25 20:04:00
das Eichhörnchen	squirrel	emre 	2025-04-26 17:19:42
der Wein	wine	i trulli a passa lento	2025-04-26 17:22:42
der Stammtisch	a regulars’ table	kursat	2025-04-26 17:25:42
begleiten	to accompany / to go with someone	emre - Kannst du mich begleiten? , Ich begleite dich zum Bahnhof	2025-04-26 17:28:42
machen … weiter	to continue doing smth / to keep doing	Supi, dann mache ich das mit den Korrekturen weiter.	2025-04-26 18:47:00
kaum	hardly / barely	Hier in diesem Brief waren wieder kaum Fehler!	2025-04-26 18:50:00
der Fehler	mistake	Hier in diesem Brief waren wieder kaum Fehler!	2025-04-26 18:53:00
weder … noch	neither … nor	Ich habe weder Briefumschläge noch gescheites Papier. 	2025-04-26 18:56:00
der Briefumschlag	envelope	Ich habe weder Briefumschläge noch gescheites Papier.	2025-04-26 18:59:00
gescheites Papier	proper paper	Ich habe weder Briefumschläge noch gescheites Papier. 	2025-04-26 19:02:00
das Papier	paper	Ich habe weder Briefumschläge noch gescheites Papier.	2025-04-26 19:05:00
passen	to fit / to suit / to be ok	Passt das für dich, wenn ich einfach auf die Rückseite deiner Briefe schreibe?	2025-04-26 19:08:00
einfach	simple / easy / just / one-fold	Passt das für dich, wenn ich einfach auf die Rückseite deiner Briefe schreibe?	2025-04-26 19:11:00
die Rückseite	back side	Passt das für dich, wenn ich einfach auf die Rückseite deiner Briefe schreibe? 	2025-04-26 19:14:00
klingen	to sound	Das Tempotraining klingt wirklich anstrengend.	2025-04-26 19:17:00
überhaupt nicht	not at all 	Ich mag das überhaupt nicht. :)	2025-04-26 19:20:00
durchziehen	carried/pulled/pushed through	Cool, dass du es durchgezogen hast!	2025-04-26 19:23:00
der Zugang	access / entrance / entry 	Hast du Zugang zu dem Ed Film (gibt es ihn auf einer Streaming-Plattform)?	2025-04-26 19:26:00
zumindest	at least	Also zumindest kann ich es nicht.	2025-04-26 19:29:00
die Falttechnik	folding technique	Vielleicht kannst du mir ja mal eine Falttechnik zeigen :)	2025-04-26 19:32:00
zeigen	to show	Vielleicht kannst du mir ja mal eine Falttechnik zeigen :)	2025-04-26 19:35:00
weiterhin	still / continuing to	Mir geht es weiterhin sehr sehr gut und die erste Uni-Woche war cool.	2025-04-26 19:38:00
das Kulturaggregat	culture collective/platfom/unit in Freiburg	Dienstag: Abends „Snack & Jam“ im „Kulturaggregat“; Tanzen & Musik	2025-04-26 19:41:00
die Musik	music	Dienstag: Abends „Snack & Jam“ im „Kulturaggregat“; Tanzen & Musik 	2025-04-26 19:44:00
der Freund	friend (male) / boyfriend	Mittwoch: Ein Freund von mir ist mit zum Wasserspringen gekommen und hat ein Probetraining gemacht.	2025-04-26 19:47:00
das Wasserspringen	diving (sport)	Mittwoch: Ein Freund von mir ist mit zum Wasserspringen gekommen und hat ein Probetraining gemacht.	2025-04-26 19:50:00
mitkommen	to come along / to come with	Mittwoch: Ein Freund von mir ist mit zum Wasserspringen gekommen und hat ein Probetraining gemacht.	2025-04-26 19:53:00
das Probetraining	trial training	Mittwoch: Ein Freund von mir ist mit zum Wasserspringen gekommen und hat ein Probetraining gemacht.	2025-04-26 19:56:00
strömend	flowing / streaming / pouring	Donnerstag: 11-km Lauf mit ~5:20 min/km im strömenden Regen.	2025-04-26 19:59:00
die Pro-Choice-Demonstration	pro-abortion rights protest	Freitag: Pro-Choice-Demonstration mit Freunden und abends mein erster Vorwärts-Salto-gestreckt-mit-ganzer-Schraube.	2025-04-26 20:02:00
vorwärts-Salto-gestreckt-mit-ganzer-Schraube	forward somersault, stretched (straight body), with a full twist	Freitag: Pro-Choice-Demonstration mit Freunden und abends mein erster Vorwärts-Salto-gestreckt-mit-ganzer-Schraube.	2025-04-26 20:05:00
rennradeln	to ride a racing bike / to do road cycling	rennrad fahren , rennen: to race	2025-04-26 20:08:00
gleich	soon / in a moment / immediately / same / equal	Gleich bin ich mit einem Freund zum See-baden und kochen verabredet.	2025-04-26 20:11:00
See-baden	lake swimming	Gleich bin ich mit einem Freund zum See-baden und kochen verabredet.	2025-04-26 20:14:00
verabredet sein	to have arranged to meet	Gleich bin ich mit einem Freund zum See-baden und kochen verabredet.	2025-04-26 20:17:00
der Brücke	bridge	Wir wollen von der Brücke springen! Mal sehen :)	2025-04-26 20:20:00
springen	to jump	Wir wollen von der Brücke springen! Mal sehen :).	2025-04-26 20:23:00
sich melden	to get in touch / to reach out	Soooo… Melde dich gerne wegen des Films…	2025-04-26 20:26:00
wegen	because of / about	Soooo… Melde dich gerne wegen des Films…	2025-04-26 20:29:00
die Pfütze	puddle	ella with her bike cleaning	2025-04-27 11:22:00
völlig	completely / totally	Briefumschläge und Papier – das ist völlig okay :D	2025-04-27 23:08:49
Außerdem	also / besides that / moreover	Außerdem ist es auch besser für die Umwelt :D	2025-04-27 23:11:49
denselben	same	Ab jetzt werde ich denselben Umschlag weiterverwenden und die Ränder verkleinern, damit weniger Papier verbraucht wird.	2025-04-27 23:14:49
verwenden	to use	Ab jetzt werde ich denselben Umschlag weiterverwenden und die Ränder verkleinern, damit weniger Papier verbraucht wird.	2025-04-27 23:17:49
der Rand	margin	Ab jetzt werde ich denselben Umschlag weiterverwenden und die Ränder verkleinern, damit weniger Papier verbraucht wird.	2025-04-27 23:20:49
verkleinern	to reduce / to schrink	Ab jetzt werde ich denselben Umschlag weiterverwenden und die Ränder verkleinern, damit weniger Papier verbraucht wird.	2025-04-27 23:23:49
damit	so that	Ab jetzt werde ich denselben Umschlag weiterverwenden und die Ränder verkleinern, damit weniger Papier verbraucht wird.	2025-04-27 23:26:49
wenig	less / fewer	Ab jetzt werde ich denselben Umschlag weiterverwenden und die Ränder verkleinern, damit weniger Papier verbraucht wird.	2025-04-27 23:29:49
vebrauchen	to consume	Ab jetzt werde ich denselben Umschlag weiterverwenden und die Ränder verkleinern, damit weniger Papier verbraucht wird.	2025-04-27 23:32:49
der Lauf	run / race	Ein Lauf im strömenden Regen, mit dieser Zeit und Strecke – wow. 	2025-04-27 23:35:49
die Strecke	distance / route	Ein Lauf im strömenden Regen, mit dieser Zeit und Strecke – wow. 	2025-04-27 23:38:49
obendrauf	on top of that	Und dann noch eine vorwärts–gestreckte–Schraube obendrauf?	2025-04-28 06:00:00
danach	after that	Und danach eine komplett verrückte Rennradtour?	2025-04-28 06:02:00
komplett	completely	Und danach eine komplett verrückte Rennradtour?	2025-04-28 06:03:00
die Rennradtour	road bike tour	Und danach eine komplett verrückte Rennradtour?	2025-04-28 06:05:00
überhaupt	at all / really	„Bist du überhaupt echt?“	2025-04-28 07:00:00
das Brückenspringen	bridge jumping	„Wie war das Brückenspringen?“	2025-04-28 07:03:00
das Intervalltraining	interval training	„Und warum magst du Intervalltraining nicht?“	2025-04-28 07:06:00
das Fenster	window	„Papierflieger mag ich, wir können zusammen welche basteln und sie danach aus dem Fenster werfen, haha.“	2025-04-28 07:09:00
werfen	to thrrow	„Papierflieger mag ich, wir können zusammen welche basteln und sie danach aus dem Fenster werfen, haha.“	2025-04-28 07:12:00
jedes Mal	every time	„Es ist jedes Mal schön und aufregend, ihnen beim Fliegen zuzusehen.“	2025-04-28 07:15:00
aufregend	exciting	„Es ist jedes Mal schön und aufregend, ihnen beim Fliegen zuzusehen.“	2025-04-28 07:18:00
fliegen	to fly	„Es ist jedes Mal schön und aufregend, ihnen beim Fliegen zuzusehen.“	2025-04-28 07:21:00
das Fliegen	flying	„Es ist jedes Mal schön und aufregend, ihnen beim Fliegen zuzusehen.“	2025-04-28 07:24:00
zusehen	to watch / observe	„Es ist jedes Mal schön und aufregend, ihnen beim Fliegen zuzusehen.“	2025-04-28 07:27:00
bevor	before	„Bevor ich nach Zürich fahre:“	2025-04-28 07:30:00
früher	earlier	„Ich werde Ausdauer-Sport ein bisschen früher verlassen, weil ich meine Beine in Zürich brauche :D“	2025-04-28 07:33:00
verlassen	to leave	„Ich werde Ausdauer-Sport ein bisschen früher verlassen, weil ich meine Beine in Zürich brauche :D“	2025-04-28 07:36:00
das Bein	leg	„Ich werde Ausdauer-Sport ein bisschen früher verlassen, weil ich meine Beine in Zürich brauche :D“	2025-04-28 07:39:00
brauchen	to need	„Ich werde Ausdauer-Sport ein bisschen früher verlassen, weil ich meine Beine in Zürich brauche :D“	2025-04-28 07:42:00
wenn	when / if	„Wenn ich zurück bin:“	2025-04-28 07:45:00
zurück	back	„Wenn ich zurück bin:“	2025-04-28 07:48:00
die Kombination	combination	„Sonntagabend – Tagesschau + Film-Kombi“	2025-04-28 07:51:00
wegen	because of	„Wegen des Films: Auf einer anderen Seite habe ich einen Kalender skizziert, der mögliche Zeitfenster zeigt :)“	2025-04-28 07:54:00
die Seite	page / side	„Wegen des Films: Auf einer anderen Seite habe ich einen Kalender skizziert, der mögliche Zeitfenster zeigt :)“	2025-04-28 07:57:00
skizzieren	to sketch	„Wegen des Films: Auf einer anderen Seite habe ich einen Kalender skizziert, der mögliche Zeitfenster zeigt :)“	2025-04-28 08:00:00
der Kalender	calendar	„Wegen des Films: Auf einer anderen Seite habe ich einen Kalender skizziert, der mögliche Zeitfenster zeigt :)“	2025-04-28 08:03:00
möglich	possible	„Wegen des Films: Auf einer anderen Seite habe ich einen Kalender skizziert, der mögliche Zeitfenster zeigt :)“	2025-04-28 08:06:00
das Zeitfenster	time window / slot	„Wegen des Films: Auf einer anderen Seite habe ich einen Kalender skizziert, der mögliche Zeitfenster zeigt :)“	2025-04-28 08:09:00
zeigen	to show	„Wegen des Films: Auf einer anderen Seite habe ich einen Kalender skizziert, der mögliche Zeitfenster zeigt :)“	2025-04-28 08:12:00
gegen	around / about	„Ich würde gerne gegen 21 Uhr anfangen zu schauen, wenn es nach dem Sonnenuntergang dunkel wird, damit wir besser sehen können.“	2025-04-28 08:15:00
dunkel	dark	„Ich würde gerne gegen 21 Uhr anfangen zu schauen, wenn es nach dem Sonnenuntergang dunkel wird, damit wir besser sehen können.“	2025-04-28 08:18:00
sich kümmern um	take care of (something)	„Ich kümmere mich um die Plattform.“	2025-04-28 08:21:00
die Platform	platform	„Ich kümmere mich um die Plattform.“	2025-04-28 08:24:00
der Wetterbericht	weather report	„Der Wetterbericht für die nächsten Tage sieht gut aus.“	2025-04-28 08:27:00
aussehen	to look / appear	„Der Wetterbericht für die nächsten Tage sieht gut aus.“	2025-04-28 08:30:00
ein bisschen	a little / a bit	„Perfekt für ein bisschen Seeplanschen :)“	2025-04-28 08:33:00
das Seeplanschen	splashing in the lake	„Perfekt für ein bisschen Seeplanschen :)“	2025-04-28 08:36:00
der Briefwechsel	letter exchange	„Dieser Briefwechsel macht mich sehr glücklich :D“	2025-04-28 08:39:00
glücklich	happy	„Dieser Briefwechsel macht mich sehr glücklich :D“	2025-04-28 08:42:00
diesmal	this time	„PS: ? neue Wörter beim Schreiben gelernt. Ich konnte diesmal wegen Zeitmangel keine richtige Wörteranalyse machen, aber ich verspreche, dass ich sie danach nachhole.“	2025-04-28 08:45:00
der Zeitmangel	time shortage	„PS: ? neue Wörter beim Schreiben gelernt. Ich konnte diesmal wegen Zeitmangel keine richtige Wörteranalyse machen, aber ich verspreche, dass ich sie danach nachhole.“	2025-04-28 08:48:00
die Wörteranalyse	word analysis	„PS: ? neue Wörter beim Schreiben gelernt. Ich konnte diesmal wegen Zeitmangel keine richtige Wörteranalyse machen, aber ich verspreche, dass ich sie danach nachhole.“	2025-04-28 08:51:00
versprechen	to promise	„PS: ? neue Wörter beim Schreiben gelernt. Ich konnte diesmal wegen Zeitmangel keine richtige Wörteranalyse machen, aber ich verspreche, dass ich sie danach nachhole.“	2025-04-28 08:54:00
dass	that	„PS: ? neue Wörter beim Schreiben gelernt. Ich konnte diesmal wegen Zeitmangel keine richtige Wörteranalyse machen, aber ich verspreche, dass ich sie danach nachhole.“	2025-04-28 08:57:00
danach	afterwards	„PS: ? neue Wörter beim Schreiben gelernt. Ich konnte diesmal wegen Zeitmangel keine richtige Wörteranalyse machen, aber ich verspreche, dass ich sie danach nachhole.“	2025-04-28 09:00:00
nachholen	to catch up / make up	„PS: ? neue Wörter beim Schreiben gelernt. Ich konnte diesmal wegen Zeitmangel keine richtige Wörteranalyse machen, aber ich verspreche, dass ich sie danach nachhole.“	2025-04-28 09:03:00
teilen	to share	„PS: Essen zu teilen ist etwas Schönes.“ 	2025-04-28 09:06:00
die Bank	bench	miriam and i were running and i saw a bench	2025-04-28 17:41:00
kommen	to come	„Wow, diese Antwort kam schnell!“	2025-04-29 08:30:00
fehlerfrei	error-free		2025-04-29 08:33:00
bewölkt	cloudy	„Es war irgendwie sehr bewölkt und kühl.“	2025-04-29 08:36:00
kühl	cool / chilly		2025-04-29 08:39:00
nur	only	„Wir waren also nur normal baden.“	2025-04-29 08:42:00
baden	to bathe / swim		2025-04-29 08:45:00
belastend	straining / stressful	 „Intervall-Training ist echt belastend für mein Knie“	2025-04-29 09:03:00
das Knie	knee		2025-04-29 09:06:00
das ständige Beschleunigen und Abbremsen	the constant accelerating and braking	„Das ständige Beschleunigen und Abbremsen ist glaube ich nicht so förderlich.“	2025-04-29 09:09:00
förderlich	beneficial / helpful		2025-04-29 09:12:00
abgesehen davon	apart from that / besides that	„Abgesehen davon ist Intervall-Training auf jeden Fall sehr effizient, um im Laufen besser zu werden und die eigenen Zeiten zu verbessern!“	2025-04-29 09:15:00
auf jeden Fall	definitely / in any case		2025-04-29 09:18:00
effizient	efficient		2025-04-29 09:21:00
eigene	own		2025-04-29 09:24:00
die Zeiten	times		2025-04-29 09:27:00
verbessern	to improve		2025-04-29 09:30:00
weiterhin	still / continue to	„Ich hoffe, du hast weiterhin Spaß daran und machst motivierende Fortschritte!“	2025-04-29 09:33:00
daran	in it / with it		2025-04-29 09:36:00
motivierend	motivating		2025-04-29 09:39:00
der Fortschritt	progress / improvement		2025-04-29 09:42:00
die Dunkelheit	darkness	„Dunkelheit hat wahrscheinlich ihre Vorzüge.“	2025-04-29 09:45:00
wahrscheinlich	probably		2025-04-29 09:48:00
der Vorzug	advantage		2025-04-29 09:51:00
klappen	to work out / go well	„Sonntag, 04.05. könnte klappen!“	2025-04-29 09:54:00
hinhauen	to work out / go smoothly	„Wir haben was geplant, ich weiß nicht, wie lange das dauert, aber das müsste hinhauen, ich schreibe es in meinen Kalender.“	2025-04-29 09:57:00
die Lust	desire / interest	„Seeplanschen: Hast du Lust?“	2025-04-29 10:00:00
sowieso	anyway	„Dienstag, 29.04. würde für mich passen, ich möchte sowieso einen Rest-Day einlegen.“	2025-04-29 10:03:00
einlegen	to schedule / take		2025-04-29 10:06:00
laut	according to	„Laut deinem Wochenplan hast du ab 18 Uhr Uni.“	2025-04-29 10:09:00
der Wochenplan	weekly schedule		2025-04-29 10:12:00
nutzen	to use / make use of / utilize?	„Wir könnten ja dein freies Zeitfenster (18–20 Uhr) nutzen…“	2025-04-29 10:15:00
bezüglich	regarding / concerning	„(Schreib mir gerne via WhatsApp bezüglich Seeplansche und Kino, dann können wir es vorabreden.)“	2025-04-29 10:18:00
vorabreden	to arrange/plan something in advance		2025-04-29 10:21:00
über	about	„Schön, dass du dich über den Briefwechsel freust :)“	2025-04-29 10:24:00
stressig	stressful	„Ich dachte es ist vielleicht stressig für dich… ist ja schon anstrengend und zeitaufwendig das Deutsch-lernen und -schreiben…“	2025-04-29 10:27:00
anstrengend	exhausting / tiring		2025-04-29 10:30:00
zeitaufwendig	time-consuming		2025-04-29 10:33:00
enthalten	to contain	„Enthält dein drittes PS einen versteckten Hinweis? hahaha. Oder ist das einfach eine Feststellung?“	2025-04-29 10:36:00
versteckt	hidden		2025-04-29 10:39:00
der Hinweis	hint / clue		2025-04-29 10:40:00
die Feststellung	statement / observation		2025-04-29 10:42:00
die Frischhalteclips	fresh keeping clips	giulia n simon cookin in kitchen	2025-04-29 19:57:17
der Clip	clip		2025-04-29 20:00:17
ebenfalls	likewise / you too	ege wp	2025-04-29 23:43:58
prägnant	concise	kursat - senin ogrenmen lazim lol	2025-04-29 23:46:58
